Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,225.0399932861328,225.8300018310547,223.8800048828125,225.24000549316406,206.87176513671875,91366500
2017-01-04,225.6199951171875,226.75,225.61000061035156,226.5800018310547,208.1024932861328,78744400
2017-01-05,226.27000427246094,226.5800018310547,225.47999572753906,226.39999389648438,207.93719482421875,78379000
2017-01-06,226.52999877929688,227.75,225.89999389648438,227.2100067138672,208.6811065673828,71559900
2017-01-09,226.91000366210938,227.07000732421875,226.4199981689453,226.4600067138672,207.99229431152344,46939700
2017-01-10,226.47999572753906,227.4499969482422,226.00999450683594,226.4600067138672,207.99229431152344,63771900
2017-01-11,226.36000061035156,227.10000610351562,225.58999633789062,227.10000610351562,208.5801239013672,74650000
2017-01-12,226.5,226.75,224.9600067138672,226.52999877929688,208.0565643310547,72113200
2017-01-13,226.72999572753906,227.39999389648438,226.69000244140625,227.0500030517578,208.53416442871094,62717900
2017-01-17,226.30999755859375,226.77999877929688,225.8000030517578,226.25,207.79942321777344,61240800
2017-01-18,226.5399932861328,226.8000030517578,225.89999389648438,226.75,208.2586212158203,54793300
2017-01-19,226.83999633789062,227.0,225.41000366210938,225.91000366210938,207.4871368408203,66608800
2017-01-20,226.6999969482422,227.30999755859375,225.97000122070312,226.74000549316406,208.24945068359375,129168600
2017-01-23,226.74000549316406,226.80999755859375,225.27000427246094,226.14999389648438,207.70755004882812,75061600
2017-01-24,226.39999389648438,228.0800018310547,226.27000427246094,227.60000610351562,209.0393524169922,95555300
2017-01-25,228.6999969482422,229.57000732421875,228.50999450683594,229.57000732421875,210.8486785888672,84437700
2017-01-26,229.39999389648438,229.7100067138672,229.00999450683594,229.3300018310547,210.62826538085938,59970700
2017-01-27,229.4199981689453,229.58999633789062,228.75999450683594,228.97000122070312,210.29759216308594,59711100
2017-01-30,228.1699981689453,228.1999969482422,226.41000366210938,227.5500030517578,208.99339294433594,79737300
2017-01-31,226.97999572753906,227.60000610351562,226.32000732421875,227.52999877929688,208.9750213623047,75880800
2017-02-01,227.52999877929688,228.58999633789062,226.94000244140625,227.6199951171875,209.05767822265625,79117700
2017-02-02,227.6199951171875,228.10000610351562,226.82000732421875,227.77000427246094,209.19546508789062,69657600
2017-02-03,228.82000732421875,229.5500030517578,228.4600067138672,229.33999633789062,210.63743591308594,80563200
2017-02-06,228.8699951171875,229.3300018310547,228.5399932861328,228.92999267578125,210.2608642578125,57790100
2017-02-07,229.3800048828125,229.66000366210938,228.72000122070312,228.94000244140625,210.27003479003906,57931200
2017-02-08,228.94000244140625,229.38999938964844,228.30999755859375,229.24000549316406,210.5455780029297,51566200
2017-02-09,229.24000549316406,230.9499969482422,229.24000549316406,230.60000610351562,211.79466247558594,65955200
2017-02-10,231.0,231.77000427246094,230.6199951171875,231.50999450683594,212.6304473876953,66015900
2017-02-13,232.0800018310547,233.07000732421875,232.0500030517578,232.77000427246094,213.78773498535156,55182100
2017-02-14,232.55999755859375,233.7100067138672,232.16000366210938,233.6999969482422,214.641845703125,71109000
2017-02-15,233.4499969482422,235.13999938964844,233.38999938964844,234.9199981689453,215.7623748779297,86785800
2017-02-16,234.9499969482422,235.16000366210938,233.85000610351562,234.72000122070312,215.57870483398438,84722400
2017-02-17,233.9499969482422,235.08999633789062,233.92999267578125,235.08999633789062,215.91851806640625,77204100
2017-02-21,235.52000427246094,236.69000244140625,235.50999450683594,236.49000549316406,217.2043914794922,88946100
2017-02-22,236.02000427246094,236.5399932861328,235.8300018310547,236.27999877929688,217.01145935058594,62115200
2017-02-23,236.8800048828125,236.89999389648438,235.55999755859375,236.44000244140625,217.158447265625,74615900
2017-02-24,235.4600067138672,236.7899932861328,235.41000366210938,236.74000549316406,217.4339599609375,82381600
2017-02-27,236.63999938964844,237.30999755859375,236.35000610351562,237.11000061035156,217.77378845214844,56515400
2017-02-28,236.6699981689453,236.9499969482422,236.02000427246094,236.47000122070312,217.18600463867188,96961900
2017-03-01,238.38999938964844,240.32000732421875,238.3699951171875,239.77999877929688,220.2260284423828,149158200
2017-03-02,239.55999755859375,239.57000732421875,238.2100067138672,238.27000427246094,218.83917236328125,70246000
2017-03-03,238.1699981689453,238.61000061035156,237.72999572753906,238.4199981689453,218.9769744873047,81974300
2017-03-06,237.5,238.1199951171875,237.00999450683594,237.7100067138672,218.32489013671875,55391500
2017-03-07,237.36000061035156,237.77000427246094,236.75999450683594,237.0,217.6727752685547,65103700
2017-03-08,237.33999633789062,237.63999938964844,236.39999389648438,236.55999755859375,217.26861572265625,78168800
2017-03-09,236.6999969482422,237.24000549316406,235.74000549316406,236.86000061035156,217.5441436767578,90683900
2017-03-10,237.97000122070312,238.02000427246094,236.58999633789062,237.69000244140625,218.3064727783203,81991700
2017-03-13,237.6199951171875,237.86000061035156,237.24000549316406,237.80999755859375,218.41668701171875,57256800
2017-03-14,237.17999267578125,237.24000549316406,236.19000244140625,236.89999389648438,217.5808868408203,59880800
2017-03-15,237.55999755859375,239.44000244140625,237.2899932861328,238.9499969482422,219.4637451171875,96081800
2017-03-16,239.11000061035156,239.1999969482422,238.10000610351562,238.47999572753906,219.03204345703125,78344000
2017-03-17,237.75,237.97000122070312,237.02999877929688,237.02999877929688,218.6473846435547,89002100
2017-03-20,237.02999877929688,237.36000061035156,236.32000732421875,236.77000427246094,218.40756225585938,52537000
2017-03-21,237.47000122070312,237.61000061035156,233.5800018310547,233.72999572753906,215.6033477783203,131809300
2017-03-22,233.77000427246094,234.61000061035156,233.0500030517578,234.27999877929688,216.1106719970703,97569200
2017-03-23,234.27999877929688,235.33999633789062,233.60000610351562,234.02999877929688,215.8800506591797,100410300
2017-03-24,234.3800048828125,235.0399932861328,232.9600067138672,233.86000061035156,215.7232666015625,112504900
2017-03-27,231.92999267578125,233.9199981689453,231.61000061035156,233.6199951171875,215.50186157226562,87454500
2017-03-28,233.27000427246094,235.80999755859375,233.13999938964844,235.32000732421875,217.0700225830078,93483900
2017-03-29,234.99000549316406,235.80999755859375,234.72999572753906,235.5399932861328,217.27296447753906,61950400
2017-03-30,235.47000122070312,236.52000427246094,235.27000427246094,236.2899932861328,217.96478271484375,56737900
2017-03-31,235.89999389648438,236.50999450683594,235.67999267578125,235.74000549316406,217.4574432373047,73733100
2017-04-03,235.8000030517578,236.02999877929688,233.91000366210938,235.3300018310547,217.07923889160156,85546500
2017-04-04,235.0,235.5800018310547,234.55999755859375,235.47999572753906,217.21762084960938,56466200
2017-04-05,236.25999450683594,237.38999938964844,234.5399932861328,234.77999877929688,216.57188415527344,108800600
2017-04-06,234.94000244140625,236.0399932861328,234.42999267578125,235.44000244140625,217.18067932128906,69135800
2017-04-07,235.14999389648438,236.0,234.63999938964844,235.1999969482422,216.95932006835938,74412300
2017-04-10,235.36000061035156,236.25999450683594,234.72999572753906,235.33999633789062,217.08847045898438,67615300
2017-04-11,234.89999389648438,235.17999267578125,233.33999633789062,235.05999755859375,216.8301544189453,88045300
2017-04-12,234.74000549316406,234.9600067138672,233.77000427246094,234.02999877929688,215.8800506591797,81864400
2017-04-13,233.63999938964844,234.49000549316406,232.50999450683594,232.50999450683594,214.47793579101562,92880400
2017-04-17,233.11000061035156,234.57000732421875,232.8800048828125,234.57000732421875,216.37818908691406,68405400
2017-04-18,233.72000122070312,234.49000549316406,233.0800018310547,233.8699951171875,215.73248291015625,83225800
2017-04-19,234.52000427246094,234.9499969482422,233.17999267578125,233.44000244140625,215.33584594726562,68699900
2017-04-20,234.14999389648438,235.85000610351562,233.77999877929688,235.33999633789062,217.08847045898438,92572200
2017-04-21,235.25,235.30999755859375,234.1300048828125,234.58999633789062,216.3966064453125,110389800
2017-04-24,237.17999267578125,237.41000366210938,234.55999755859375,237.1699981689453,218.7765350341797,119209900
2017-04-25,237.91000366210938,238.9499969482422,237.80999755859375,238.5500030517578,220.0495147705078,76698300
2017-04-26,238.50999450683594,239.52999877929688,238.35000610351562,238.39999389648438,219.9111328125,84702500
2017-04-27,238.77000427246094,238.9499969482422,237.97999572753906,238.60000610351562,220.09559631347656,57410300
2017-04-28,238.89999389648438,238.92999267578125,237.92999267578125,238.0800018310547,219.615966796875,63532800
2017-05-01,238.67999267578125,239.1699981689453,238.1999969482422,238.67999267578125,220.16941833496094,66882500
2017-05-02,238.83999633789062,238.97999572753906,238.3000030517578,238.77000427246094,220.25244140625,57375700
2017-05-03,238.77000427246094,238.8800048828125,237.6999969482422,238.47999572753906,219.98495483398438,73137700
2017-05-04,238.8300018310547,238.9199981689453,237.77999877929688,238.75999450683594,220.24322509765625,61462700
2017-05-05,239.19000244140625,239.72000122070312,238.67999267578125,239.6999969482422,221.1102752685547,62001300
2017-05-08,239.75,239.9199981689453,239.1699981689453,239.66000366210938,221.0734100341797,48385700
2017-05-09,239.9600067138672,240.19000244140625,239.0399932861328,239.44000244140625,220.8704833984375,51363200
2017-05-10,239.38999938964844,239.8699951171875,239.14999389648438,239.8699951171875,221.26715087890625,54293800
2017-05-11,239.35000610351562,239.57000732421875,238.1300048828125,239.3800048828125,220.81515502929688,62358300
2017-05-12,239.08999633789062,239.42999267578125,238.6699981689453,238.97999572753906,220.4461669921875,53912700
2017-05-15,239.47000122070312,240.44000244140625,239.4499969482422,240.3000030517578,221.663818359375,61918900
2017-05-16,240.63999938964844,240.6699981689453,239.6300048828125,240.0800018310547,221.4608612060547,51241800
2017-05-17,240.0800018310547,240.0800018310547,235.75,235.82000732421875,217.53123474121094,172174100
2017-05-18,235.72999572753906,237.75,235.42999267578125,236.77000427246094,218.40756225585938,107047700
2017-05-19,237.3300018310547,239.0800018310547,237.27000427246094,238.30999755859375,219.82814025878906,115011400
2017-05-22,238.89999389648438,239.7100067138672,238.82000732421875,239.52000427246094,220.9442901611328,61010600
2017-05-23,239.9499969482422,240.24000549316406,239.50999450683594,240.0500030517578,221.4331817626953,48341700
2017-05-24,240.32000732421875,240.72999572753906,239.92999267578125,240.61000061035156,221.94976806640625,46927700
2017-05-25,241.1999969482422,242.0800018310547,240.9600067138672,241.75999450683594,223.01058959960938,64071700
2017-05-26,241.5399932861328,241.89999389648438,241.4499969482422,241.7100067138672,222.96444702148438,46629900
2017-05-30,241.33999633789062,241.7899932861328,241.16000366210938,241.5,222.77073669433594,35201900
2017-05-31,241.83999633789062,241.8800048828125,240.63999938964844,241.44000244140625,222.71536254882812,91796000
2017-06-01,241.97000122070312,243.3800048828125,241.63999938964844,243.36000061035156,224.48646545410156,68962000
2017-06-02,243.4199981689453,244.35000610351562,243.0800018310547,244.1699981689453,225.23365783691406,88666100
2017-06-05,243.97000122070312,244.3000030517578,243.75999450683594,243.99000549316406,225.06761169433594,44698800
2017-06-06,243.33999633789062,243.97999572753906,243.1199951171875,243.2100067138672,224.34811401367188,50375400
2017-06-07,243.60000610351562,243.9199981689453,242.8300018310547,243.66000366210938,224.76319885253906,54144300
2017-06-08,243.77000427246094,244.3300018310547,243.1699981689453,243.77999877929688,224.87393188476562,65950700
2017-06-09,244.08999633789062,245.00999450683594,241.9499969482422,243.41000366210938,224.53262329101562,132256400
2017-06-12,243.1300048828125,243.4199981689453,242.3800048828125,243.36000061035156,224.48646545410156,86108100
2017-06-13,243.97999572753906,244.61000061035156,243.5800018310547,244.5500030517578,225.5841827392578,60067000
2017-06-14,244.86000061035156,244.8699951171875,243.2899932861328,244.24000549316406,225.29824829101562,78602300
2017-06-15,242.67999267578125,243.91000366210938,242.36000061035156,243.77000427246094,224.8646697998047,66464900
2017-06-16,242.77000427246094,242.8300018310547,241.6300048828125,242.63999938964844,224.913818359375,84553100
2017-06-19,243.58999633789062,244.72999572753906,243.47999572753906,244.66000366210938,226.7862548828125,65123800
2017-06-20,244.25,244.25999450683594,242.99000549316406,243.00999450683594,225.25677490234375,56906400
2017-06-21,243.4600067138672,243.58999633789062,242.41000366210938,242.9499969482422,225.20115661621094,55977600
2017-06-22,242.9600067138672,243.52999877929688,242.63999938964844,242.83999633789062,225.09921264648438,44148100
2017-06-23,242.91000366210938,243.50999450683594,242.47000122070312,243.1300048828125,225.36801147460938,66986800
